experiment_id,cell_id,seed,game,channel,spec,pair,framing,n_rows,n_rounds,coop_mean,price_mean,price_last,refusal_rate,api_error_rate,msgs,rule_frac,full_rule_frac,trigger_frac,conseq_frac,target_frac,intention_frac,msg_len,any_rule,lockin,K,capacity,has_channel,free_text
A1,A1/L1_signal/novel/same_origin_cn,0,ipd,L1_signal,novel,qwen-72b+deepseek-v3,neutral,16,8,0.75,,,0.0,0.0,16,0.0,0.0,0.0,0.0,0.8125,0.8125,21.4375,0,0.0,,intention,1,0
A1,A1/L1_signal/novel/same_origin_cn,1,ipd,L1_signal,novel,deepseek-v3+qwen-72b,neutral,16,8,0.6875,,,0.0,0.0,16,0.0,0.0,0.0,0.0,0.5625,0.5625,20.6875,0,0.0,,intention,1,0
A1,A1/L1_signal/novel/same_origin_cn,2,ipd,L1_signal,novel,qwen-72b+deepseek-v3,neutral,16,8,0.75,,,0.0,0.0,16,0.0,0.0,0.0,0.0,0.75,0.75,21.25,0,0.0,,intention,1,0
A1,A1/L1_signal/novel/same_origin_cn,100,ipd,L1_signal,novel,qwen-72b+deepseek-v3,neutral,40,20,0.025,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.25,0.25,19.75,0,0.0,,intention,1,0
A1,A1/L1_signal/novel/same_origin_cn,101,ipd,L1_signal,novel,deepseek-v3+qwen-72b,neutral,24,12,0.0,,,0.0,0.0,24,0.0,0.0,0.0,0.0,0.25,0.25,19.75,0,0.0,,intention,1,0
A1,A1/L1_signal/novel/same_origin_cn,102,ipd,L1_signal,novel,qwen-72b+deepseek-v3,neutral,40,20,0.025,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.275,0.275,19.825,0,0.0,,intention,1,0
A1,A1/L1_signal/novel/same_origin_cn,103,ipd,L1_signal,novel,deepseek-v3+qwen-72b,neutral,2,1,0.5,,,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,1.0,22.0,0,0.0,,intention,1,0
A1,A1/L1_signal/novel/same_origin_cn,104,ipd,L1_signal,novel,qwen-72b+deepseek-v3,neutral,40,20,0.075,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.325,0.325,19.975,0,0.0,,intention,1,0
A1,A1/L1_signal/novel/same_origin_cn,105,ipd,L1_signal,novel,deepseek-v3+qwen-72b,neutral,40,20,0.025,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.325,0.325,19.975,0,0.0,,intention,1,0
A1,A1/L1_signal/novel/same_origin_cn,106,ipd,L1_signal,novel,qwen-72b+deepseek-v3,neutral,20,10,0.35,,,0.0,0.0,20,0.0,0.0,0.0,0.0,1.0,1.0,22.0,0,0.0,,intention,1,0
A1,A1/L1_signal/novel/same_origin_cn,107,ipd,L1_signal,novel,deepseek-v3+qwen-72b,neutral,6,3,0.3333333333333333,,,0.0,0.0,6,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,21.5,0,0.0,,intention,1,0
A1,A1/L1_signal/novel/same_origin_cn,108,ipd,L1_signal,novel,qwen-72b+deepseek-v3,neutral,34,17,0.029411764705882353,,,0.0,0.0,34,0.0,0.0,0.0,0.0,0.29411764705882354,0.29411764705882354,19.88235294117647,0,0.0,,intention,1,0
